Species	Count	Family	Order	Class
Chromis circumaurea	18	Pomacentridae	Ovalentaria/misc	Teleostei
Chromis woodsi	2	Pomacentridae	Ovalentaria/misc	Teleostei
Chromis cadenati	2	Pomacentridae	Ovalentaria/misc	Teleostei
Chrysiptera flavipinnis	2	Pomacentridae	Ovalentaria/misc	Teleostei
Chromis caerulea	3	Pomacentridae	Ovalentaria/misc	Teleostei
Cottunculus microps	38	Psychrolutidae	Perciformes/Cottoidei	Teleostei
Psychrolutes microporos	16	Psychrolutidae	Perciformes/Cottoidei	Teleostei
Neophrynichthys heterospilos	6	Psychrolutidae	Perciformes/Cottoidei	Teleostei
Neophrynichthys latus	7	Psychrolutidae	Perciformes/Cottoidei	Teleostei
Ebinania sp.	1	Psychrolutidae	Perciformes/Cottoidei	Teleostei
Cottunculus nudus	4	Psychrolutidae	Perciformes/Cottoidei	Teleostei
Ambophthalmos angustus	9	Psychrolutidae	Perciformes/Cottoidei	Teleostei
Psychrolutes sio	10	Psychrolutidae	Perciformes/Cottoidei	Teleostei
Psychrolutes marmoratus	4	Psychrolutidae	Perciformes/Cottoidei	Teleostei
Scorpaenopsis barbata	9	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaenopsis cotticeps	6	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaena papillosa	12	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaena grandicornis	26	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaena inermis	64	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaenopsis cf.	1	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaenopsis longispina	6	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaena cardinalis	12	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaena colorata	2	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaena dispar	7	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaena sonorae	2	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaena histrio	13	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaena calcarata	8	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaena wellingtoni	2	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Scorpaenopsis gibbosa	9	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Trachyscorpia eschmeyeri	24	Sebastidae	Perciformes/Scorpaenoidei	Teleostei
Helicolenus cf.	1	Sebastidae	Perciformes/Scorpaenoidei	Teleostei
Plectranthias inermis	10	Anthiadidae	Perciformes/Serranoidei	Teleostei
Lepidoperca magna	11	Anthiadidae	Perciformes/Serranoidei	Teleostei
Acanthistius pictus	7	Anthiadidae	Perciformes/Serranoidei	Teleostei
Lepidoperca brochata	3	Anthiadidae	Perciformes/Serranoidei	Teleostei
Hypoplectrodes sp.	3	Anthiadidae	Perciformes/Serranoidei	Teleostei
Hypoplectrodes semicinctum	2	Anthiadidae	Perciformes/Serranoidei	Teleostei
Hypoplectrodes nigroruber	2	Anthiadidae	Perciformes/Serranoidei	Teleostei
Hypoplectrodes maccullochi	3	Anthiadidae	Perciformes/Serranoidei	Teleostei
Hypoplectrodes huntii	2	Anthiadidae	Perciformes/Serranoidei	Teleostei
Plectranthias polygonius	4	Anthiadidae	Perciformes/Serranoidei	Teleostei
Plectranthias hinano	4	Anthiadidae	Perciformes/Serranoidei	Teleostei
Plectranthias maculicauda	5	Anthiadidae	Perciformes/Serranoidei	Teleostei
Lepidoperca tasmanica	6	Anthiadidae	Perciformes/Serranoidei	Teleostei
Lepidoperca aurantia	12	Anthiadidae	Perciformes/Serranoidei	Teleostei
Acanthistius cinctus	4	Anthiadidae	Perciformes/Serranoidei	Teleostei
Plectranthias bilaticlavia	2	Anthiadidae	Perciformes/Serranoidei	Teleostei
Plectranthias flammeus	14	Anthiadidae	Perciformes/Serranoidei	Teleostei
Plectranthias retrofasciatus	4	Anthiadidae	Perciformes/Serranoidei	Teleostei
Lepidoperca occidentalis	9	Anthiadidae	Perciformes/Serranoidei	Teleostei
Plectranthias ahiahiata	1	Anthiadidae	Perciformes/Serranoidei	Teleostei
Acanthistius sp.	1	Anthiadidae	Perciformes/Serranoidei	Teleostei
Acanthistius joanae	24	Anthiadidae	Perciformes/Serranoidei	Teleostei
Plectranthias randalli	2	Anthiadidae	Perciformes/Serranoidei	Teleostei
Acanthistius patachonicus	23	Anthiadidae	Perciformes/Serranoidei	Teleostei
Plectranthias bennetti	1	Anthiadidae	Perciformes/Serranoidei	Teleostei
Plectranthias sp.	1	Anthiadidae	Perciformes/Serranoidei	Teleostei
Ectreposebastes niger	1	Setarchidae	Perciformes/Scorpaenoidei	Teleostei
Sillago malabarica	1	Sillaginidae	Eupercaria/misc	Teleostei
Sillago muktijoddhai	9	Sillaginidae	Eupercaria/misc	Teleostei
Sillago nigrofasciata	19	Sillaginidae	Eupercaria/misc	Teleostei
Sillago menjialensis	1	Sillaginidae	Eupercaria/misc	Teleostei
Sillago suezensis	20	Sillaginidae	Eupercaria/misc	Teleostei
Sillago soringa	8	Sillaginidae	Eupercaria/misc	Teleostei
Sillago ciliata	66	Sillaginidae	Eupercaria/misc	Teleostei
Sillago burrus	7	Sillaginidae	Eupercaria/misc	Teleostei
Sillago aff.	3	Sillaginidae	Eupercaria/misc	Teleostei
Sillago vittata	2	Sillaginidae	Eupercaria/misc	Teleostei
Sillago analis	65	Sillaginidae	Eupercaria/misc	Teleostei
Sillago robusta	7	Sillaginidae	Eupercaria/misc	Teleostei
Sphyraena cf.	4	Sphyraenidae	Carangaria/misc	Teleostei
Sphyraena acutipinnis	18	Sphyraenidae	Carangaria/misc	Teleostei
Sphyraena waitii	13	Sphyraenidae	Carangaria/misc	Teleostei
Sphyraena picudilla	6	Sphyraenidae	Carangaria/misc	Teleostei
Eustomias fissibarbis	2	Stomiidae	Stomiiformes	Teleostei
Photonectes braueri	12	Stomiidae	Stomiiformes	Teleostei
Photonectes leucospilus	7	Stomiidae	Stomiiformes	Teleostei
Eustomias polyaster	3	Stomiidae	Stomiiformes	Teleostei
Eustomias jimcraddocki	2	Stomiidae	Stomiiformes	Teleostei
Eustomias furcifer	2	Stomiidae	Stomiiformes	Teleostei
Eustomias filifer	3	Stomiidae	Stomiiformes	Teleostei
Photonectes dinema	3	Stomiidae	Stomiiformes	Teleostei
Minous versicolor	6	Synanceiidae	Perciformes/Scorpaenoidei	Teleostei
Minous inermis	4	Synanceiidae	Perciformes/Scorpaenoidei	Teleostei
Minous pictus	2	Synanceiidae	Perciformes/Scorpaenoidei	Teleostei
Hoplostethus grandperrini	1	Trachichthyidae	Trachichthyiformes	Teleostei
Hoplostethus cf.	1	Trachichthyidae	Trachichthyiformes	Teleostei
Hoplostethus gigas	13	Trachichthyidae	Trachichthyiformes	Teleostei
Hoplostethus sp.	11	Trachichthyidae	Trachichthyiformes	Teleostei
Hoplostethus melanopeza	2	Trachichthyidae	Trachichthyiformes	Teleostei
Hoplostethus mento	10	Trachichthyidae	Trachichthyiformes	Teleostei
Hoplostethus melanopus	10	Trachichthyidae	Trachichthyiformes	Teleostei
Hoplostethus latus	24	Trachichthyidae	Trachichthyiformes	Teleostei
Bathyphylax bombifrons	14	Triacanthodidae	Tetraodontiformes	Teleostei
Macrorhamphosodes platycheilus	9	Triacanthodidae	Tetraodontiformes	Teleostei
Benthodesmus sp.	7	Trichiuridae	Scombriformes	Teleostei
Aphanopus mikhailini	4	Trichiuridae	Scombriformes	Teleostei
Tentoriceps sp.	5	Trichiuridae	Scombriformes	Teleostei
Aphanopus intermedius	148	Trichiuridae	Scombriformes	Teleostei
Aphanopus sp.	1	Trichiuridae	Scombriformes	Teleostei
Lepidotrigla venusta	4	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Lepidotrigla brachyoptera	13	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Lepidotrigla longimana	12	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Lepidotrigla bispinosa	10	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Lepidotrigla vanessa	14	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Lepidotrigla mulhalli	33	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Lepidotrigla cf.	4	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Pterygotrigla andertoni	2	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Lepidotrigla multispinosa	14	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Lepidotrigla faurei	22	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Lepidotrigla marisinensis	2	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Lepidotrigla dieuzeidei	39	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Pterygotrigla pauli	8	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Ichthyscopus lebeck	8	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Ichthyscopus pollicaris	3	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Xenocephalus armatus	19	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Kathetostoma binigrasella	2	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Pleuroscopus pseudodorsalis	11	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Xenocephalus cribratus	6	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Ichthyscopus nigripinnis	7	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Ichthyscopus barbatus	5	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Kathetostoma averruncus	21	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Lycenchelys sp.	21	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Lycenchelys aratrirostris	25	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Melanostigma gelatinosum	17	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Lycenchelys tristichodon	18	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Pachycara angeloi	10	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Lycenchelys lenzeni	4	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Pachycara sp.	10	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Ophthalmolycus sp.	15	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Lycenchelys nigripalatum	14	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Pachycara lepinium	4	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Pachycara gymninium	2	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Lycenchelys jordani	12	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Lycenchelys antarctica	3	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Pachycara thermophilum	26	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Lycenchelys verrillii	8	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Lycenchelys hureaui	1	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Plectranthias whiteheadi	1	Anthiadidae	Perciformes/Serranoidei	Teleostei
Notacanthus arrontei	20	Notacanthidae	Notacanthiformes	Teleostei
Zenopsis nebulosa	35	Zeidae	Zeiformes	Teleostei
Sillago sp.	87	Sillaginidae	Eupercaria/misc	Teleostei
Hyporhamphus sp.	6	Hemiramphidae	Beloniformes	Teleostei
Synchiropus stellatus	10	Callionymidae	Callionymiformes	Teleostei
Chrysiptera caesifrons	8	Pomacentridae	Ovalentaria/misc	Teleostei
Strongylura leiura	25	Belonidae	Beloniformes	Teleostei
Pempheris sp.	20	Pempheridae	Acropomatiformes	Teleostei
Atherinomorus sp.	8	Atherinidae	Atheriniformes	Teleostei
Synchiropus calauropomus	11	Callionymidae	Callionymiformes	Teleostei
Paraliparis sp.	21	Liparidae	Perciformes/Cottoidei	Teleostei
Ariomma melanum	2	Ariommatidae	Scombriformes	Teleostei
Chromis agilis	13	Pomacentridae	Ovalentaria/misc	Teleostei
Callionymus filamentosus	148	Callionymidae	Callionymiformes	Teleostei
Centroberyx sp.	4	Berycidae	Beryciformes	Teleostei
Hyporhamphus limbatus	14	Hemiramphidae	Beloniformes	Teleostei
Ariomma indicum	75	Ariommatidae	Scombriformes	Teleostei
Hemiramphus sp.	10	Hemiramphidae	Beloniformes	Teleostei
Plectroglyphidodon sp.	9	Pomacentridae	Ovalentaria/misc	Teleostei
Plectorhinchus picus	16	Haemulidae	Eupercaria/misc	Teleostei
Sillago chondropus	6	Sillaginidae	Eupercaria/misc	Teleostei
Gymnothorax sp.	34	Muraenidae	Anguilliformes	Teleostei
Chromis brevirostris	10	Pomacentridae	Ovalentaria/misc	Teleostei
Nezumia sp.	7	Macrouridae	Gadiformes	Teleostei
Ostorhinchus norfolcensis	7	Apogonidae	Kurtiformes	Teleostei
Upeneus torres	6	Mullidae	Mulliformes	Teleostei
Plectroglyphidodon lacrymatus	73	Pomacentridae	Ovalentaria/misc	Teleostei
Callionymus curvicornis	9	Callionymidae	Callionymiformes	Teleostei
Ariomma brevimanum	4	Ariommatidae	Scombriformes	Teleostei
Lepidion ensiferus	7	Moridae	Gadiformes	Teleostei
Ostorhinchus semilineatus	19	Apogonidae	Kurtiformes	Teleostei
Callionymus octostigmatus	1	Callionymidae	Callionymiformes	Teleostei
Plectroglyphidodon leucozonus	35	Pomacentridae	Ovalentaria/misc	Teleostei
Bovichtus chilensis	30	Bovichtidae	Perciformes/Notothenioidei	Teleostei
Kyphosus sp.	7	Kyphosidae	Centrarchiformes	Teleostei
Ostorhinchus notatus	2	Apogonidae	Kurtiformes	Teleostei
Helicolenus sp.	11	Sebastidae	Perciformes/Scorpaenoidei	Teleostei
Guttigadus globiceps	24	Moridae	Gadiformes	Teleostei
Upeneus filifer	3	Mullidae	Mulliformes	Teleostei
Chromis dimidiata	50	Pomacentridae	Ovalentaria/misc	Teleostei
Chromis fatuhivae	3	Pomacentridae	Ovalentaria/misc	Teleostei
Chromis vanderbilti	25	Pomacentridae	Ovalentaria/misc	Teleostei
Myxus capensis	29	Mugilidae	Mugiliformes	Teleostei
Chromis sp.	35	Pomacentridae	Ovalentaria/misc	Teleostei
Notoliparis sp.	5	Liparidae	Perciformes/Cottoidei	Teleostei
Craterocephalus sp.	12	Atherinidae	Atheriniformes	Teleostei
Callionymus sp.	17	Callionymidae	Callionymiformes	Teleostei
Careproctus sp.	22	Liparidae	Perciformes/Cottoidei	Teleostei
Parapercis sp.	27	Pinguipedidae	Perciformes/Uranoscopoidei	Teleostei
Hoplostethus sp.	8	Trachichthyidae	Trachichthyiformes	Teleostei
Lestidium sp.	11	Lestidiidae	Aulopiformes	Teleostei
Ariomma sp.	5	Ariommatidae	Scombriformes	Teleostei
Bregmaceros sp.	22	Bregmacerotidae	Gadiformes	Teleostei
Paraliparis terraenovae	4	Liparidae	Perciformes/Cottoidei	Teleostei
Brama caribbea	8	Bramidae	Scombriformes	Teleostei
Chromis enchrysurus	12	Pomacentridae	Ovalentaria/misc	Teleostei
Scorpaena sp.	3	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Cubiceps sp.	17	Nomeidae	Scombriformes	Teleostei
Synchiropus agassizii	9	Callionymidae	Callionymiformes	Teleostei
Arripis xylabion	1	Arripidae	Scombriformes	Teleostei
Apogonichthyoides cathetogramma	11	Apogonidae	Kurtiformes	Teleostei
Trachonurus yiwardaus	9	Macrouridae	Gadiformes	Teleostei
Parapriacanthus sp.	7	Pempheridae	Acropomatiformes	Teleostei
Helicolenus hilgendorfii	23	Sebastidae	Perciformes/Scorpaenoidei	Teleostei
Halicmetus sp.	2	Ogcocephalidae	Lophiiformes	Teleostei
Synchiropus ocellatus	10	Callionymidae	Callionymiformes	Teleostei
Pentaceros richardsoni	25	Pentacerotidae	Acropomatiformes	Teleostei
Euristhmus sp.	3	Plotosidae	Siluriformes	Teleostei
Synchiropus apricus	10	Callionymidae	Callionymiformes	Teleostei
Macruronus sp.	4	Macruronidae	Gadiformes	Teleostei
Cypselurus sp.	3	Exocoetidae	Beloniformes	Teleostei
Pseudolabrus rubicundus	4	Labridae	Eupercaria/misc	Teleostei
Coelorinchus maurofasciatus	7	Macrouridae	Gadiformes	Teleostei
Mataeocephalus acipenserinus	7	Macrouridae	Gadiformes	Teleostei
Macroramphosus sp.	1	Centriscidae	Syngnathiformes	Teleostei
Lycenchelys sp.	12	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Gadomus sp.	1	Bathygadidae	Gadiformes	Teleostei
Polydactylus nigripinnis	1	Polynemidae	Carangaria/misc	Teleostei
Alepocephalus owstoni	4	Alepocephalidae	Alepocephaliformes	Teleostei
Coelorinchus sp.	4	Macrouridae	Gadiformes	Teleostei
Epigonus sp.	7	Epigonidae	Acropomatiformes	Teleostei
Bathylagichthys sp.	5	Bathylagidae	Argentiniformes	Teleostei
Monocentris sp.	1	Monocentridae	Trachichthyiformes	Teleostei
Pseudojuloides splendens	15	Labridae	Eupercaria/misc	Teleostei
Ariomma luridum	26	Ariommatidae	Scombriformes	Teleostei
Kestratherina brevirostris	4	Atherinidae	Atheriniformes	Teleostei
Verilus anomalus	13	Malakichthyidae	Acropomatiformes	Teleostei
Hoplostethus ravurictus	8	Trachichthyidae	Trachichthyiformes	Teleostei
Synchiropus altivelis	4	Callionymidae	Callionymiformes	Teleostei
Heteroclinus sp.	4	Clinidae	Blenniiformes	Teleostei
Howella sp.	9	Howellidae	Acropomatiformes	Teleostei
Peristedion ecuadorense	1	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Callionymus russelli	3	Callionymidae	Callionymiformes	Teleostei
Cymbacephalus parilis	5	Platycephalidae	Perciformes/Scorpaenoidei	Teleostei
Zenopsis sp.	59	Zeidae	Zeiformes	Teleostei
Foa sp.	17	Apogonidae	Kurtiformes	Teleostei
Narcetes lloydi	4	Alepocephalidae	Alepocephaliformes	Teleostei
Polydactylus microstomus	12	Polynemidae	Carangaria/misc	Teleostei
Lepidotrigla sp.	8	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Chromis howsoni	3	Pomacentridae	Ovalentaria/misc	Teleostei
Merluccius sp.	6	Merlucciidae	Gadiformes	Teleostei
Histiophryne sp.	1	Histiophrynidae	Lophiiformes	Teleostei
Bathylagus sp.	12	Bathylagidae	Argentiniformes	Teleostei
Pseudophycis sp.	12	Moridae	Gadiformes	Teleostei
Siphamia sp.	3	Apogonidae	Kurtiformes	Teleostei
Colistium guntheri	9	Rhombosoleidae	Pleuronectiformes	Teleostei
Limnichthys sp.	3	Creediidae	Acropomatiformes	Teleostei
Aplodactylus lophodon	5	Aplodactylidae	Centrarchiformes	Teleostei
Physiculus sp.	9	Moridae	Gadiformes	Teleostei
Cheilopogon sp.	18	Exocoetidae	Beloniformes	Teleostei
Polydactylus macrochir	5	Polynemidae	Carangaria/misc	Teleostei
Halargyreus sp.	2	Moridae	Gadiformes	Teleostei
Chrysiptera sp.	7	Pomacentridae	Ovalentaria/misc	Teleostei
Pteraclis velifera	2	Bramidae	Scombriformes	Teleostei
Lepidoperca sp.	1	Anthiadidae	Perciformes/Serranoidei	Teleostei
Ventrifossa gomoni	5	Macrouridae	Gadiformes	Teleostei
Helotes octolineatus	6	Terapontidae	Centrarchiformes	Teleostei
Chromis bami	8	Pomacentridae	Ovalentaria/misc	Teleostei
Diagramma sp.	6	Haemulidae	Eupercaria/misc	Teleostei
Scorpaena regina	1	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Ophthalmolycus sp.	9	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Halimochirurgus alcocki	3	Triacanthodidae	Tetraodontiformes	Teleostei
Kathetostoma sp.	4	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Strongylura sp.	4	Belonidae	Beloniformes	Teleostei
Chromis abrupta	2	Pomacentridae	Ovalentaria/misc	Teleostei
Diagramma pictum	4	Haemulidae	Eupercaria/misc	Teleostei
Synchiropus morrisoni	3	Callionymidae	Callionymiformes	Teleostei
Plesiops sp.	2	Plesiopidae	Ovalentaria/misc	Teleostei
Neomerinthe sp.	5	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Brama sp.	9	Bramidae	Scombriformes	Teleostei
Callionymus moretonensis	7	Callionymidae	Callionymiformes	Teleostei
Iso sp.	6	Isonidae	Atheriniformes	Teleostei
Chromis leucura	8	Pomacentridae	Ovalentaria/misc	Teleostei
Coryphaenoides sp.	2	Macrouridae	Gadiformes	Teleostei
Crapatalus sp.	1	Leptoscopidae	Acropomatiformes	Teleostei
Pseudojuloides sp.	1	Labridae	Eupercaria/misc	Teleostei
Rexea sp.	3	Gempylidae	Scombriformes	Teleostei
Seriolella sp.	1	Centrolophidae	Scombriformes	Teleostei
Guttigadus sp.	1	Moridae	Gadiformes	Teleostei
Nezumia wularnia	3	Macrouridae	Gadiformes	Teleostei
Halimochirurgus centriscoides	1	Triacanthodidae	Tetraodontiformes	Teleostei
Monacoa sp.	2	Opisthoproctidae	Argentiniformes	Teleostei
Benthodesmus sp.	3	Trichiuridae	Scombriformes	Teleostei
Xenocephalus egregius	3	Uranoscopidae	Perciformes/Uranoscopoidei	Teleostei
Ostorhinchus griffini	3	Apogonidae	Kurtiformes	Teleostei
Owstonia tosaensis	2	Cepolidae	Eupercaria/misc	Teleostei
Synchiropus moyeri	12	Callionymidae	Callionymiformes	Teleostei
Peristedion sp.	3	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Mataeocephalus sp.	1	Macrouridae	Gadiformes	Teleostei
Pelates sp.	5	Terapontidae	Centrarchiformes	Teleostei
Scorpis georgiana	1	Scorpididae	Centrarchiformes	Teleostei
Paraliparis meganchus	1	Liparidae	Perciformes/Cottoidei	Teleostei
Satyrichthys sp.	5	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Neobathyclupea gracilis	1	Bathyclupeidae	Acropomatiformes	Teleostei
Lesueurina sp.	5	Leptoscopidae	Acropomatiformes	Teleostei
Chromis hanui	1	Pomacentridae	Ovalentaria/misc	Teleostei
Hoplostethus cadenati	3	Trachichthyidae	Trachichthyiformes	Teleostei
Scorpaenopsis sp.	4	Scorpaenidae	Perciformes/Scorpaenoidei	Teleostei
Coryphaenoides profundicolus	1	Macrouridae	Gadiformes	Teleostei
Notacanthus sp.	5	Notacanthidae	Notacanthiformes	Teleostei
Pterygotrigla sp.	1	Triglidae	Perciformes/Scorpaenoidei	Teleostei
Macrourus sp.	2	Macrouridae	Gadiformes	Teleostei
Oxyporhamphus sp.	2	Hemiramphidae	Beloniformes	Teleostei
Bovichtus sp.	1	Bovichtidae	Perciformes/Notothenioidei	Teleostei
Pachycara sp.	4	Zoarcidae	Perciformes/Zoarcoidei	Teleostei
Callionymus meridionalis	1	Callionymidae	Callionymiformes	Teleostei
Ostorhinchus thermalis	2	Apogonidae	Kurtiformes	Teleostei
Halosaurus guentheri	2	Halosauridae	Notacanthiformes	Teleostei
Rouleina sp.	1	Alepocephalidae	Alepocephaliformes	Teleostei
Schuettea scalaripinnis	2	Monodactylidae	Eupercaria/misc	Teleostei
Polydactylus sp.	2	Polynemidae	Carangaria/misc	Teleostei
Solegnathus sp.	1	Syngnathidae	Syngnathiformes	Teleostei
Callionymus scaber	5	Callionymidae	Callionymiformes	Teleostei
Ostorhinchus parvulus	1	Apogonidae	Kurtiformes	Teleostei
Exocoetus gibbosus	1	Exocoetidae	Beloniformes	Teleostei
Retropinna sp.	1	Retropinnidae	Osmeriformes	Teleostei
Polydactylus multiradiatus	2	Polynemidae	Carangaria/misc	Teleostei
Caristius sp.	1	Caristiidae	Scombriformes	Teleostei
Peristedion greyae	3	Peristediidae	Perciformes/Scorpaenoidei	Teleostei
Nezumia propinqua	2	Macrouridae	Gadiformes	Teleostei
Gadella sp.	2	Moridae	Gadiformes	Teleostei
Psednos sp.	1	Liparidae	Perciformes/Cottoidei	Teleostei
Ebinania sp.	2	Psychrolutidae	Perciformes/Cottoidei	Teleostei
Neocyttus sp.	1	Oreosomatidae	Zeiformes	Teleostei
Tetrosomus fornasini	1	Ostraciidae	Tetraodontiformes	Teleostei
Plectranthias sp.	1	Anthiadidae	Perciformes/Serranoidei	Teleostei
Photolateralis sp.	1	Leiognathidae	Acanthuriformes	Teleostei
Gonorynchus sp.	2	Gonorynchidae	Gonorynchiformes	Teleostei
Nezumia spinosa	1	Macrouridae	Gadiformes	Teleostei
Tylosurus sp.	1	Belonidae	Beloniformes	Teleostei
Synchiropus sp.	1	Callionymidae	Callionymiformes	Teleostei
Taractichthys sp.	1	Bramidae	Scombriformes	Teleostei
Acanthistius brasilianus	1	Anthiadidae	Perciformes/Serranoidei	Teleostei
